attendance_percentage,avg_unit_marks,sir_term_test_avg,school_term_test_avg,homework_completion_rate,behavior_score,final_grade
81.12,30.95,80.58,68.4,75.12,89.74,C
99.98,85.29,23.18,29.85,57.5,75.39,S
82.76,50.49,63.74,41.38,57.77,53.9,S
61.15,37.97,40.48,81.18,51.01,100.0,S
82.4,68.7,42.83,73.41,58.49,76.83,C
100.0,63.08,82.99,42.53,69.3,100.0,C
65.6,100.0,74.16,45.63,82.65,89.59,B
84.33,33.6,45.46,52.55,68.51,84.31,S
77.67,38.29,67.6,71.43,81.2,91.21,C
87.51,74.18,58.6,21.46,78.59,78.12,C
79.07,39.47,38.38,81.17,69.21,85.22,C
75.42,65.6,78.77,46.65,71.92,68.07,C
68.48,58.82,64.44,47.47,95.12,61.58,C
72.2,56.21,88.94,62.32,90.64,52.72,C
79.01,82.79,61.65,81.44,59.65,96.14,B
100.0,57.74,51.09,89.97,100.0,67.16,B
68.7,59.36,33.11,37.79,49.92,63.48,W
74.48,69.68,91.01,36.04,89.69,71.79,C
74.26,78.5,37.55,66.41,73.33,82.39,C
79.34,100.0,47.25,46.32,57.54,66.67,C
65.44,88.78,88.41,45.44,53.35,82.07,B
66.72,77.66,64.06,24.65,100.0,100.0,C
65.81,57.25,65.72,65.36,83.17,100.0,C
72.35,49.03,32.41,41.92,69.34,100.0,S
67.24,69.48,59.67,84.14,100.0,67.04,B
67.66,85.88,73.64,98.63,81.68,69.61,A
83.86,87.17,76.41,69.16,91.33,92.54,A
95.73,77.97,56.66,61.23,94.13,62.75,B
80.53,57.13,60.57,86.13,73.82,75.7,B
54.6,79.93,72.91,100.0,63.84,78.29,B
78.74,96.55,58.09,64.14,82.16,77.8,B
68.3,68.88,81.47,35.42,72.66,64.5,C
92.93,34.54,48.82,66.3,100.0,74.01,C
66.67,100.0,31.04,20.0,78.8,67.47,S
59.68,79.17,64.88,45.59,44.39,88.09,C
84.75,63.02,96.93,34.46,39.49,64.62,C
74.32,69.87,55.18,65.75,44.97,96.66,C
73.77,87.35,66.85,68.05,81.4,81.72,B
84.64,91.58,63.93,73.6,68.21,96.6,B
64.85,100.0,59.2,26.52,72.56,64.78,C
87.61,51.95,51.08,20.0,60.95,38.64,W
51.24,80.21,75.72,67.36,50.66,74.28,C
74.95,41.83,90.07,77.3,65.58,75.4,C
78.13,24.17,55.06,43.0,49.97,70.78,W
100.0,77.82,48.58,70.6,97.99,88.87,B
75.89,52.06,73.96,66.66,87.9,84.53,C
90.74,54.3,86.35,62.35,100.0,64.66,B
100.0,68.96,46.97,47.35,63.59,81.36,C
82.84,53.53,59.51,100.0,100.0,81.54,B
75.57,67.4,72.27,35.5,64.85,49.97,C
80.99,77.94,50.34,92.63,45.48,53.03,B
78.37,85.94,93.68,47.9,91.57,74.42,B
72.41,82.67,73.05,23.32,99.53,95.7,C
65.62,72.92,69.88,63.73,58.99,64.93,C
74.62,88.45,70.87,49.85,85.43,32.27,B
92.23,30.21,52.75,33.37,44.11,92.41,W
67.98,71.93,59.06,68.49,71.54,55.76,C
89.94,55.12,28.87,48.58,100.0,87.75,S
69.77,58.01,53.57,100.0,77.64,81.45,B
90.45,69.78,54.82,53.68,68.57,74.44,C
85.91,66.04,74.65,56.22,71.57,45.03,C
88.74,71.93,79.96,20.0,100.0,72.91,C
91.62,44.2,72.26,34.82,57.52,100.0,S
72.14,69.35,77.4,68.91,73.01,80.47,B
100.0,63.85,64.02,81.11,92.11,92.81,B
84.58,42.14,92.67,32.78,76.05,63.69,C
74.04,71.58,66.43,67.28,100.0,81.8,B
71.34,84.28,83.79,30.99,81.95,85.52,C
70.54,92.51,57.0,60.76,66.54,75.23,B
58.56,36.2,91.89,39.37,50.17,42.7,S
65.42,38.54,92.84,80.22,56.24,100.0,C
89.73,58.5,20.0,100.0,42.21,50.32,C
90.34,100.0,87.69,70.41,81.9,87.8,A
86.38,70.62,62.08,56.62,54.92,70.79,C
49.61,63.03,40.23,33.72,73.6,95.88,S
88.77,33.59,40.21,78.7,50.35,71.63,S
83.25,45.63,62.11,28.65,57.97,79.8,S
51.11,73.81,59.61,70.15,74.48,95.46,C
76.88,56.41,62.45,69.95,70.98,75.61,C
64.47,51.74,31.95,96.49,45.12,64.61,C
64.22,82.9,54.1,85.45,56.53,79.18,B
62.47,100.0,36.25,64.82,82.68,81.21,B
72.22,62.4,60.88,54.77,89.28,100.0,C
66.64,37.6,58.23,100.0,53.93,99.59,C
100.0,53.93,71.38,93.82,62.42,71.95,B
66.27,44.7,47.01,31.07,70.68,63.45,W
78.51,33.88,66.62,76.34,30.13,80.61,S
93.42,40.81,93.45,67.22,55.9,74.16,C
83.37,66.52,70.78,37.75,73.39,53.79,C
73.33,46.92,45.29,85.19,91.83,84.14,C
58.62,58.67,84.26,61.12,100.0,80.9,C
77.88,58.82,62.67,54.65,84.16,89.35,C
63.21,38.38,23.28,69.18,47.93,42.71,W
80.83,100.0,59.88,76.45,71.64,73.52,B
88.79,59.19,65.35,65.08,56.64,89.88,C
72.38,49.89,70.73,38.23,70.56,74.86,S
91.29,74.49,59.5,75.99,97.8,83.37,B
75.16,38.76,38.7,51.29,57.81,72.2,S
75.85,75.59,58.59,68.7,71.29,45.37,C
60.91,62.12,35.81,71.2,100.0,93.28,C
71.8,94.81,62.97,50.58,57.73,70.46,C
69.18,68.41,63.21,58.07,78.74,92.86,C
89.24,35.3,20.0,78.56,42.66,71.63,S
57.45,28.96,70.83,74.7,58.47,36.13,S
66.81,72.84,30.42,62.03,69.69,83.69,C
76.79,45.54,83.93,54.51,69.45,61.0,C
68.35,47.3,56.54,95.66,42.56,50.8,C
97.07,60.81,46.62,80.88,57.89,100.0,B
85.17,55.24,100.0,44.67,84.84,79.49,B
94.53,96.23,60.64,41.42,79.2,64.83,B
100.0,67.73,52.69,62.06,43.06,60.43,C
93.01,51.86,39.06,69.81,93.71,85.78,C
89.94,49.86,31.56,91.03,63.55,71.24,C
94.92,76.12,69.12,100.0,57.13,88.92,A
75.86,70.37,90.57,69.17,80.77,91.09,B
69.53,48.22,39.1,20.0,100.0,58.45,W
71.68,59.46,66.15,75.95,87.21,66.25,C
72.49,70.65,55.03,93.36,79.82,86.02,B
84.94,88.47,63.62,29.47,77.99,65.23,C
67.07,76.73,84.77,58.47,76.18,100.0,B
78.61,100.0,71.31,20.0,85.07,80.72,C
94.35,78.46,57.23,31.07,65.82,62.24,C
66.29,76.77,93.4,66.68,46.08,81.67,B
92.95,52.8,57.32,58.32,54.3,84.72,C
73.19,73.39,42.25,48.38,84.45,69.41,C
100.0,57.01,64.49,78.52,41.63,48.59,C
52.12,90.25,48.96,100.0,58.72,77.77,B
98.13,100.0,100.0,84.58,90.48,83.89,A
86.68,53.98,43.64,57.93,66.6,68.2,S
85.45,84.11,61.77,90.51,47.17,72.1,B
64.25,27.67,58.35,55.32,100.0,84.46,S
59.64,100.0,84.42,70.81,65.47,60.61,B
69.42,86.77,97.69,91.95,60.22,58.21,A
77.11,29.63,66.46,54.75,60.68,51.08,S
82.7,54.35,36.6,20.0,69.45,100.0,S
99.92,55.86,47.96,68.31,50.03,79.53,C
86.49,89.54,58.0,53.52,52.44,62.6,C
71.6,72.35,78.27,40.33,99.85,70.93,C
74.68,50.06,20.0,77.45,84.74,70.78,S
76.0,75.32,28.75,46.36,85.89,56.19,S
79.4,37.87,69.33,57.22,37.7,92.47,S
63.98,48.79,64.01,83.27,49.68,75.93,C
81.43,78.86,63.53,49.93,53.45,76.29,C
58.92,20.0,68.73,77.89,22.74,59.85,S
84.29,100.0,60.42,41.98,66.34,95.62,B
65.31,49.02,50.35,37.03,72.45,99.37,S
79.85,59.95,54.16,23.61,87.66,73.83,S
72.29,100.0,65.98,41.46,61.47,92.23,B
76.7,36.23,78.38,43.3,100.0,91.2,C
68.29,90.62,61.36,76.76,79.69,62.3,B
65.35,85.6,53.3,49.12,50.9,81.35,C
100.0,43.65,60.48,89.07,68.41,81.79,B
59.06,73.57,56.26,79.69,93.75,100.0,B
83.69,71.52,63.89,50.23,76.77,70.57,C
77.53,91.35,39.87,83.08,96.34,73.23,B
43.17,52.84,85.94,57.5,50.01,67.43,S
87.61,75.93,55.22,49.93,62.16,61.16,C
99.23,58.55,84.34,91.47,89.97,68.53,A
81.06,64.52,41.93,65.14,46.42,92.82,C
68.03,69.02,65.67,52.3,81.73,67.88,C
88.07,38.08,62.53,100.0,49.99,64.83,C
82.71,68.59,67.01,68.76,82.69,91.65,B
81.15,60.17,73.45,99.8,67.35,60.38,B
91.61,62.59,20.0,76.64,59.29,73.64,C
79.98,68.81,74.19,48.42,80.26,71.11,C
86.08,77.31,41.29,81.89,59.28,87.12,B
80.51,100.0,55.53,50.32,69.61,70.45,B
87.0,32.67,38.93,34.51,89.01,100.0,S
73.43,61.62,61.4,83.56,51.45,78.58,C
89.63,75.02,63.79,80.02,15.94,85.17,B
65.19,28.39,70.22,88.22,67.25,89.29,C
99.18,91.3,92.8,74.33,71.51,50.97,A
71.31,48.14,100.0,54.13,72.46,83.27,C
75.65,98.9,47.55,62.28,55.15,55.2,C
65.82,64.26,51.41,42.77,41.87,73.75,S
52.43,80.2,61.65,25.93,63.82,63.72,S
79.79,91.81,22.5,60.53,66.8,85.07,C
78.2,49.96,53.62,40.49,91.52,75.32,S
100.0,63.79,45.83,24.7,33.94,51.24,S
79.01,75.17,28.38,77.69,60.34,77.2,C
99.18,82.94,54.63,38.39,26.96,64.21,C
71.83,45.26,57.37,59.69,65.5,65.25,S
77.53,73.84,38.19,89.04,68.03,75.28,B
85.62,69.66,79.06,64.32,57.75,80.42,B
57.84,67.17,59.34,53.42,67.43,46.77,S
66.77,66.86,63.2,35.39,95.31,62.01,C
89.54,73.54,47.08,97.06,46.13,88.79,B
90.01,51.59,87.85,52.5,75.77,78.9,C
72.99,81.22,75.87,20.0,96.09,50.06,C
90.49,87.53,38.18,48.96,47.89,71.78,C
70.38,80.59,86.21,88.71,58.76,71.86,B
49.75,48.88,79.3,93.54,45.31,66.11,C
74.6,70.6,43.81,67.33,60.52,74.78,C
83.19,65.13,51.27,55.59,68.23,69.45,C
71.12,96.97,71.22,51.5,83.94,69.99,B
92.6,72.39,57.85,67.85,38.58,58.1,C
57.09,67.86,94.65,100.0,82.76,82.51,A
47.98,54.15,44.24,44.34,66.64,67.92,S
45.31,79.96,38.55,63.26,100.0,61.21,C
37.05,59.28,82.02,100.0,45.41,82.45,B
68.02,62.88,100.0,24.93,75.07,82.02,C
91.29,66.96,66.16,49.38,75.38,69.85,C
84.32,57.61,67.54,57.36,92.52,74.23,C
48.4,90.24,41.89,43.62,58.09,95.62,S
42.96,100.0,81.12,62.91,68.9,79.28,B
82.82,77.9,71.11,59.97,66.05,72.73,B
72.08,87.68,71.87,20.0,83.12,77.92,C
74.72,57.23,82.48,78.85,54.54,81.11,B
60.43,37.41,47.47,76.97,89.06,82.7,C
85.88,75.32,47.17,67.5,86.01,86.31,B
92.83,79.17,67.03,81.54,69.47,61.77,B
72.55,50.1,46.5,54.82,54.15,70.38,S
46.6,69.27,60.02,40.02,83.18,89.06,S
50.89,49.75,44.62,37.32,86.59,72.09,S
71.03,24.92,72.71,30.74,71.2,79.16,S
95.41,38.82,20.0,62.04,100.0,93.58,S
78.14,55.17,76.14,36.58,79.53,82.58,C
90.9,100.0,67.85,46.8,69.49,48.46,B
64.58,56.81,49.52,61.35,53.55,91.82,S
75.0,64.81,53.44,61.41,86.5,61.99,C
65.13,58.93,33.08,39.98,60.48,88.12,S
78.94,68.87,77.02,54.98,77.81,73.45,C
78.98,53.34,20.0,55.05,98.45,88.89,S
89.48,89.72,61.77,62.34,57.65,70.26,B
84.24,89.08,57.21,48.1,70.01,84.02,C
53.34,20.0,48.99,31.14,59.84,72.78,W
68.2,94.05,66.53,64.61,82.44,57.92,B
90.59,63.48,73.41,34.42,38.92,87.27,C
80.65,46.96,42.61,82.76,46.21,99.64,C
61.49,77.77,53.43,71.27,59.12,72.56,C
75.61,44.96,74.82,46.71,65.43,60.08,S
36.56,61.18,100.0,75.26,69.61,71.06,B
75.34,75.94,36.38,82.52,84.31,85.77,B
81.58,65.39,73.46,71.02,62.92,66.4,B
76.53,95.98,35.22,25.71,73.3,75.76,C
77.6,69.88,55.54,90.78,37.98,62.57,C
73.45,32.14,56.48,94.55,70.42,78.46,C
56.1,52.67,52.5,51.01,95.63,83.37,S
58.33,69.93,69.96,83.08,100.0,59.77,B
62.84,39.85,55.32,68.26,89.75,73.86,C
70.2,68.04,43.3,100.0,37.85,77.77,C
100.0,65.14,56.2,50.14,66.39,95.59,C
41.82,95.67,31.52,52.13,61.42,83.83,S
51.03,74.24,100.0,28.01,73.79,65.07,C
81.39,65.38,47.17,68.73,100.0,72.14,C
85.8,39.13,40.87,68.39,99.68,80.33,C
70.3,64.99,34.99,71.3,87.65,68.22,C
67.95,70.32,51.27,56.55,100.0,71.29,C
69.62,52.05,74.88,54.01,57.01,94.82,C
96.29,52.99,22.67,80.17,56.31,86.86,C
45.45,82.85,35.78,74.08,70.29,60.69,C
68.89,78.73,62.12,70.86,100.0,51.54,B
99.26,67.09,42.02,28.73,66.22,88.82,S
73.09,95.22,30.98,57.73,44.95,80.45,C
88.3,56.58,20.0,62.38,78.73,81.06,S
93.54,43.58,73.6,84.24,34.43,79.79,C
67.44,63.37,66.95,47.28,56.49,75.51,C
58.69,43.28,73.59,32.73,83.33,81.94,S
49.11,51.45,83.88,36.41,60.71,81.93,S
86.75,59.97,48.05,89.29,100.0,89.68,B
76.28,48.83,43.39,69.5,78.37,96.02,C
84.76,34.94,81.04,36.04,62.32,78.75,S
100.0,100.0,72.13,53.97,80.69,88.31,A
70.19,100.0,64.6,68.95,83.32,81.32,B
87.58,52.65,48.83,33.8,78.79,86.68,S
81.87,98.49,59.89,72.71,48.17,69.19,B
85.43,81.98,54.12,56.42,39.64,69.64,C
88.36,76.5,70.01,59.1,70.14,65.1,B
85.48,73.42,69.84,46.43,26.93,91.46,C
67.82,47.74,73.87,49.38,91.2,84.26,C
85.25,37.68,84.24,63.75,62.61,77.15,C
48.36,73.17,39.41,28.24,39.55,91.69,W
65.56,95.67,49.28,20.44,47.67,93.54,S
72.66,54.03,63.2,69.04,92.35,96.73,C
69.6,38.48,51.73,63.73,50.72,60.64,S
80.16,64.03,60.66,41.31,65.39,61.14,C
88.35,85.7,23.08,37.55,40.07,65.25,S
73.75,36.01,41.56,35.91,74.15,76.04,W
64.17,68.54,49.07,52.02,100.0,95.11,C
55.51,81.59,76.23,32.74,86.38,98.07,C
58.16,46.65,80.35,63.97,81.03,80.11,C
80.86,38.47,80.95,83.73,65.41,74.35,C
52.03,75.29,71.44,56.63,92.49,69.99,C
83.47,44.61,59.53,54.16,74.51,69.46,C
73.03,81.52,51.26,22.66,100.0,95.72,C
55.62,78.79,49.94,63.8,75.88,71.48,C
63.24,51.19,41.68,39.7,68.66,64.26,S
85.23,94.74,48.4,63.27,79.99,82.08,B
76.14,79.85,69.64,30.77,87.38,88.31,C
63.55,65.76,73.67,53.4,91.46,100.0,C
63.21,37.38,66.08,73.87,65.38,96.8,C
54.92,78.86,47.88,95.83,100.0,63.5,B
66.76,82.19,52.26,57.0,70.51,46.2,C
74.79,51.21,50.14,89.76,44.87,87.2,C
70.82,59.4,75.81,65.48,81.41,89.52,C
70.03,52.76,38.3,39.84,100.0,93.67,S
54.73,38.55,69.64,70.04,80.98,71.18,C
73.12,71.56,61.72,20.0,65.4,62.23,S
77.63,100.0,67.35,51.1,88.44,82.24,B
81.3,77.14,100.0,33.12,79.47,61.1,B
83.33,46.63,51.65,51.51,89.52,88.78,C
56.31,66.1,45.81,30.31,65.66,70.37,S
100.0,73.66,32.45,45.57,90.43,100.0,C
51.21,27.4,97.42,66.57,52.63,83.02,C
35.46,65.07,66.56,78.33,49.72,76.29,C
61.12,70.11,42.09,49.02,50.08,84.77,S
87.88,60.31,60.76,26.13,64.01,74.25,S
100.0,42.76,89.28,79.93,75.61,100.0,B
80.58,72.78,58.94,84.92,91.93,65.61,B
55.21,60.94,44.0,56.6,94.75,68.14,S
74.36,66.16,76.97,20.0,57.87,78.17,S
93.0,55.16,22.47,71.63,57.29,57.16,S
65.63,61.31,47.91,20.0,87.94,94.12,S
84.77,42.25,55.97,57.86,81.98,85.03,C
63.99,66.64,69.15,90.03,84.09,86.84,B
76.26,93.21,68.2,39.06,98.07,85.47,B
68.35,55.41,65.93,68.19,73.95,79.67,C
100.0,86.43,63.81,78.71,49.35,80.97,B
100.0,60.64,43.05,43.65,48.21,63.23,S
69.44,36.89,60.31,77.85,51.84,97.79,C
82.66,85.61,46.84,76.8,48.16,88.35,B
77.58,76.07,36.49,38.31,81.94,60.77,S
81.95,37.66,76.96,30.88,81.05,84.38,S
64.55,76.64,65.21,46.15,49.83,45.56,C
80.24,33.7,61.91,52.2,83.58,70.47,S
70.06,79.64,66.7,64.96,79.39,51.97,B
86.35,77.25,39.67,52.63,69.21,72.98,C
80.01,93.63,81.64,29.13,82.44,94.93,B
80.8,86.82,100.0,80.52,74.99,90.68,A
77.17,65.48,52.97,92.4,53.63,97.99,B
82.5,37.01,67.35,20.0,82.51,88.28,S
66.11,67.47,99.08,46.87,48.82,97.22,C
100.0,65.07,80.23,87.51,55.15,67.72,B
93.46,98.7,71.26,38.64,100.0,67.04,B
69.97,71.85,91.08,76.79,78.3,81.95,B
75.65,76.16,20.0,51.47,74.83,57.73,S
80.79,60.91,95.11,92.61,60.68,72.74,B
73.89,55.97,63.9,41.32,47.39,84.34,S
84.44,48.91,77.91,44.11,75.06,87.31,C
74.5,74.09,49.67,53.68,65.88,63.8,C
72.35,34.03,50.18,51.73,64.88,71.38,S
74.07,74.59,77.49,43.71,45.94,59.37,C
67.69,57.96,44.6,29.49,60.88,77.72,S
83.93,53.85,51.74,37.61,69.37,62.27,S
83.6,29.28,52.81,64.62,73.68,100.0,S
80.25,44.92,58.09,20.0,68.39,62.5,W
88.73,54.01,57.66,44.02,100.0,70.18,C
100.0,81.28,69.64,66.11,77.88,46.08,B
70.82,81.9,59.02,27.09,68.95,100.0,C
93.7,63.76,79.03,49.94,35.92,61.13,C
98.44,59.52,55.13,51.4,100.0,99.39,C
100.0,61.82,65.91,24.63,99.54,57.48,C
78.25,43.05,48.22,39.58,57.84,66.91,S
66.78,81.67,37.9,62.85,94.36,67.3,C
64.23,60.39,83.59,62.27,59.38,82.26,C
58.47,78.63,68.17,51.23,53.23,61.7,C
83.02,89.58,47.25,68.08,28.26,66.23,C
74.53,46.81,41.27,43.31,75.84,72.19,S
41.43,22.59,47.86,68.07,15.05,67.5,W
67.11,92.77,52.3,66.43,72.83,43.04,C
86.52,69.31,70.17,100.0,28.32,100.0,B
70.69,70.75,59.09,48.67,58.6,79.94,C
52.24,80.01,51.68,33.14,61.0,93.86,S
66.97,72.17,45.38,74.67,83.71,100.0,C
72.37,78.37,61.96,86.51,55.62,86.18,B
72.08,63.72,61.84,63.55,67.68,78.22,C
98.67,84.71,77.38,47.98,52.22,89.33,B
88.14,94.45,47.92,52.95,37.21,69.11,C
89.95,55.67,72.81,53.81,76.48,57.78,C
76.28,20.0,56.26,22.13,94.12,86.66,W
82.0,95.42,41.02,96.44,88.64,71.45,A
92.03,42.87,43.51,44.61,59.42,59.15,S
93.35,59.82,67.05,45.45,33.59,79.05,C
46.32,63.63,32.63,100.0,88.23,76.59,C
93.96,48.07,70.87,62.4,75.28,94.09,C
85.99,70.77,26.9,36.88,67.55,76.4,S
58.05,100.0,90.33,71.25,71.44,71.82,A
60.72,66.55,65.16,30.68,76.68,72.67,S
46.38,47.79,51.73,99.53,81.13,54.97,C
82.29,34.05,81.65,47.64,68.13,94.89,C
55.69,37.06,48.33,80.84,39.61,32.52,S
68.23,76.03,84.01,47.81,61.77,92.31,C
46.95,57.23,63.81,67.88,59.8,75.52,C
37.68,51.84,69.07,36.39,71.18,81.7,S
69.86,68.41,40.75,53.45,82.2,77.35,C
66.2,69.48,74.29,20.0,93.18,69.96,S
81.38,88.94,32.57,42.39,64.23,63.24,C
100.0,47.86,48.89,62.5,45.96,69.06,C
79.76,58.34,58.13,46.35,39.71,79.82,S
100.0,65.37,64.51,73.24,44.61,100.0,B
78.03,97.64,45.34,98.0,85.5,83.3,A
78.51,60.03,84.01,61.09,30.66,58.24,C
72.21,71.2,58.87,84.82,30.98,77.15,C
47.73,80.19,58.11,67.23,52.72,94.19,C
90.63,76.67,57.41,70.76,55.86,87.83,B
99.74,86.41,45.41,65.95,44.14,83.59,B
81.76,27.6,36.76,51.77,63.98,56.86,W
80.83,70.03,56.11,41.37,90.97,99.83,C
67.75,52.76,69.82,50.12,67.21,86.09,C
46.36,91.37,61.45,48.95,68.22,74.44,C
49.03,94.9,60.83,67.75,89.03,59.68,B
82.1,59.65,76.94,20.0,68.02,65.96,S
81.48,74.4,45.85,42.33,67.79,61.55,C
87.63,57.62,20.0,49.75,49.23,50.53,S
56.44,67.19,86.57,64.89,57.87,81.84,C
68.11,51.11,36.91,20.0,62.2,77.37,W
73.55,56.68,41.09,71.38,43.66,86.64,S
59.97,49.95,30.66,46.97,89.51,82.73,S
89.68,75.44,37.93,50.72,54.4,94.96,C
57.05,82.87,77.86,98.25,61.81,85.68,B
100.0,52.65,29.3,20.0,84.25,46.75,W
69.42,73.75,63.7,67.36,74.45,94.18,B
